"2015-16 IMMUNIZATION STATUS OF KINDERGARTEN STUDENTS, CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schools with 10 or more students enrolled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL CODE,COUNTY,PUB/  PRIV,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,UP-TO-DATE†,,CONDI- TIONAL*,,PME**,,PBE§ ,,HCP-COUNSELED PBE§§ ,,RELIGIOUS PBE§§§ ,,OVER-DUE §§§§,,DTP††  ^,,POLIO¥ ^,,MMR‡  ^,,HEPB§ ^,,VAR¶ ^,,REPORTED¶¶
6090559,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,STEVEN MILLARD ELEMENTARY,84,83,99,1,1,0,0,0,0,0,0,0,0,0,0,83,99,84,100,84,100,83,99,84,100,Y
6000715,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,TOM MALONEY ELEMENTARY,111,108,97,1,1,1,1,1,1,1,1,0,0,0,0,108,97,109,98,109,98,108,97,109,98,Y
6000830,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,VALLEJO MILL ELEMENTARY,96,95,99,0,0,0,0,1,1,1,1,0,0,0,0,95,99,95,99,95,99,95,99,95,99,Y
6089619,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,WARWICK ELEMENTARY,144,143,99,1,1,0,0,0,0,0,0,0,0,0,0,144,100,144,100,143,99,144,100,144,100,Y
6000889,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,BOWMAN ELEMENTARY,45,43,96,2,4,0,0,0,0,0,0,0,0,0,0,45,100,44,98,44,98,45,100,45,100,Y
6000905,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,BURBANK ELEMENTARY,172,160,93,8,5,1,1,3,2,3,2,0,0,0,0,162,94,161,94,163,95,162,94,163,95,Y
6000913,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,CHERRYLAND ELEMENTARY,116,106,91,10,9,0,0,0,0,0,0,0,0,0,0,110,95,112,97,115,99,115,99,112,97,Y
6000921,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,EAST AVENUE ELEMENTARY,90,81,90,7,8,0,0,2,2,1,1,1,1,0,0,84,93,83,92,84,93,84,93,88,98,Y
6090583,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,EDEN GARDENS ELEMENTARY,63,61,97,2,3,0,0,0,0,0,0,0,0,0,0,63,100,63,100,63,100,61,97,63,100,Y
6000947,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,ELDRIDGE ELEMENTARY,39,39,100,0,0,0,0,0,0,0,0,0,0,0,0,39,100,39,100,39,100,39,100,39,100,Y
6000962,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,FAIRVIEW ELEMENTARY,110,107,97,3,3,0,0,0,0,0,0,0,0,0,0,108,98,109,99,110,100,108,98,110,100,Y
6113815,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,FAITH RINGGOLD SCHOOL OF ARTS AND SCIENCE,10,10,100,0,0,0,0,0,0,0,0,0,0,0,0,10,100,10,100,10,100,10,100,10,100,Y
6000988,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,GLASSBROOK ELEMENTARY,96,91,95,5,5,0,0,0,0,0,0,0,0,0,0,91,95,92,96,93,97,95,99,96,100,Y
6000996,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,HARDER ELEMENTARY,99,95,96,4,4,0,0,0,0,0,0,0,0,0,0,95,96,97,98,96,97,98,99,98,99,Y
0131334,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,HIGHLAND,,,,,,,,,,,,,,,,,,,,,,,,,,N
0127696,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,KNOWLEDGE ENLIGHTENS YOU -KEY- ACADEMY,69,68,99,1,1,0,0,0,0,0,0,0,0,0,0,68,99,68,99,68,99,68,99,68,99,Y
6001044,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,LONGWOOD ELEMENTARY,130,123,95,7,5,0,0,0,0,0,0,0,0,0,0,123,95,124,95,123,95,126,97,126,97,Y
6001051,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,LORIN A. EDEN ELEMENTARY,57,57,100,0,0,0,0,0,0,0,0,0,0,0,0,57,100,57,100,57,100,57,100,57,100,Y
6001093,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,PALMA CEIA ELEMENTARY,82,82,100,0,0,0,0,0,0,0,0,0,0,0,0,82,100,82,100,82,100,82,100,82,100,Y
6001101,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,PARK ELEMENTARY,115,106,92,9,8,0,0,0,0,0,0,0,0,0,0,110,96,110,96,112,97,114,99,113,98,Y
6001127,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,RUUS ELEMENTARY,97,97,100,0,0,0,0,0,0,0,0,0,0,0,0,97,100,97,100,97,100,97,100,97,100,Y
6001135,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,SCHAFER PARK ELEMENTARY,123,121,98,1,1,0,0,1,1,0,0,1,1,0,0,121,98,121,98,121,98,122,99,122,99,Y
6001176,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,SOUTHGATE ELEMENTARY,118,116,98,2,2,0,0,0,0,0,0,0,0,0,0,117,99,118,100,117,99,118,100,118,100,Y
0111815,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,STONEBRAE ELEMENTARY,111,106,96,4,4,0,0,1,1,0,0,1,1,0,0,106,96,108,97,108,97,108,97,108,97,Y
6062160,ALAMEDA,PUBLIC,HAYWARD UNIFIED,CASTRO VALLEY,STROBRIDGE ELEMENTARY,72,70,97,2,3,0,0,0,0,0,0,0,0,0,0,70,97,71,99,70,97,71,99,71,99,Y
6001192,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,TREEVIEW ELEMENTARY,69,67,97,2,3,0,0,0,0,0,0,0,0,0,0,67,97,69,100,69,100,69,100,69,100,Y
6104566,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,TYRRELL ELEMENTARY,88,88,100,0,0,0,0,0,0,0,0,0,0,0,0,88,100,88,100,88,100,88,100,88,100,Y
6117543,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,ALTAMONT CREEK ELEMENTARY,118,115,97,2,2,0,0,1,1,1,1,0,0,0,0,115,97,116,98,116,98,117,99,117,99,Y
6071906,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,ARROYO SECO ELEMENTARY,124,123,99,1,1,0,0,0,0,0,0,0,0,0,0,124,100,124,100,123,99,124,100,124,100,Y
6001259,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,EMMA C. SMITH ELEMENTARY,121,118,98,1,1,0,0,2,2,2,2,0,0,0,0,119,98,118,98,119,98,119,98,119,98,Y
6001283,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,JACKSON AVENUE ELEMENTARY,88,86,98,0,0,0,0,2,2,2,2,0,0,0,0,86,98,86,98,86,98,86,98,86,98,Y
6001291,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,JOE MICHELL,95,94,99,0,0,0,0,1,1,1,1,0,0,0,0,94,99,94,99,94,99,94,99,94,99,Y
6001234,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,JUNCTION K-8,75,75,100,0,0,0,0,0,0,0,0,0,0,0,0,75,100,75,100,75,100,75,100,75,100,Y
6110332,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,LEO R. CROCE ELEMENTARY,119,114,96,0,0,1,1,4,3,4,3,0,0,0,0,114,96,114,96,114,96,114,96,114,96,Y
0107839,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,LIVERMORE VALLEY CHARTER,144,129,90,9,6,0,0,6,4,6,4,0,0,0,0,131,91,130,90,130,90,136,94,137,95,Y
6001317,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,MARYLIN AVENUE ELEMENTARY,109,106,97,2,2,0,0,1,1,1,1,0,0,0,0,107,98,108,99,107,98,108,99,108,99,Y
